Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
533,US-2018-129441,07/09/2018,11/09/2018,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94
873,CA-2015-148488,10/12/2015,15/12/2015,Standard Class,SM-20005,Sally Matthias,Consumer,United States,New York City,New York,10009.0,East,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",11.36
1150,CA-2016-112452,04/04/2016,04/04/2016,Same Day,NC-18340,Nat Carroll,Consumer,United States,Lansing,Michigan,48911.0,Central,TEC-PH-10000307,Technology,Phones,Shocksock Galaxy S4 Armband,10.95
2288,US-2018-112928,01/06/2018,05/06/2018,Second Class,BB-10990,Barry Blumstein,Corporate,United States,Toledo,Ohio,43615.0,East,OFF-AP-10002287,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",17.48
4039,CA-2015-110786,29/12/2015,02/01/2016,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110.0,West,OFF-PA-10000528,Office Supplies,Paper,Xerox 1981,21.12
1727,CA-2016-127453,19/12/2016,20/12/2016,First Class,JK-15370,Jay Kimmel,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-AP-10003860,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,88.832
4990,CA-2018-107321,31/08/2018,04/09/2018,Standard Class,AW-10930,Arthur Wiediger,Home Office,United States,San Francisco,California,94110.0,West,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,6.672
4229,CA-2017-113803,24/03/2017,26/03/2017,First Class,VG-21805,Vivek Grady,Corporate,United States,Richmond,Indiana,47374.0,Central,OFF-PA-10001994,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",22.48
6665,CA-2018-162173,26/10/2018,01/11/2018,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Virginia Beach,Virginia,23464.0,South,OFF-EN-10002831,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",251.58
7599,CA-2015-131947,17/09/2015,22/09/2015,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,97477.0,West,OFF-AR-10000411,Office Supplies,Art,Boston 16701 Slimline Battery Pencil Sharpener,38.256
9211,CA-2018-142776,11/12/2018,14/12/2018,Second Class,RS-19870,Roy Skaria,Home Office,United States,Burlington,Iowa,52601.0,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,5.4
5400,CA-2017-117681,09/04/2017,14/04/2017,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,Los Angeles,California,90004.0,West,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,556.665
8654,CA-2015-142769,13/09/2015,13/09/2015,Same Day,RP-19390,Resi Pölking,Consumer,United States,Seattle,Washington,98103.0,West,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,199.98
7174,US-2018-141677,26/03/2018,30/03/2018,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Houston,Texas,77070.0,Central,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,2399.96
4402,CA-2017-131737,17/03/2017,17/03/2017,Same Day,GZ-14470,Gary Zandusky,Consumer,United States,Columbia,Maryland,21044.0,East,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,971.5
252,CA-2017-145625,11/09/2017,17/09/2017,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037.0,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37
2169,CA-2018-117870,27/01/2018,30/01/2018,Second Class,JH-15820,John Huston,Consumer,United States,Kent,Ohio,44240.0,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,14.016
2665,CA-2017-164784,01/05/2017,04/05/2017,First Class,HF-14995,Herbert Flentye,Consumer,United States,Memphis,Tennessee,38109.0,South,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,370.62
2292,CA-2016-149342,20/04/2016,25/04/2016,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Columbus,Georgia,31907.0,South,FUR-FU-10002937,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",595.38
6476,CA-2018-140872,03/06/2018,10/06/2018,Standard Class,NR-18550,Nick Radford,Consumer,United States,Pembroke Pines,Florida,33024.0,South,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,4.554
8244,CA-2015-109897,12/08/2015,16/08/2015,Standard Class,BW-11200,Ben Wallace,Consumer,United States,San Francisco,California,94122.0,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,806.336
2911,CA-2016-118444,05/11/2016,09/11/2016,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Coral Springs,Florida,33065.0,South,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",387.136
8471,US-2018-132031,23/04/2018,27/04/2018,Standard Class,PN-18775,Parhena Norris,Home Office,United States,Clarksville,Tennessee,37042.0,South,TEC-AC-10002473,Technology,Accessories,Maxell 4.7GB DVD-R,45.408
519,CA-2018-127432,22/01/2018,27/01/2018,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405.0,West,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1126.02
2535,US-2018-117723,15/08/2018,18/08/2018,Second Class,DL-13495,Dionis Lloyd,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,1801.632
1609,US-2017-115819,19/04/2017,24/04/2017,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049.0,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",22.72
97,CA-2018-161018,09/11/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.0,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
578,CA-2016-149713,18/09/2016,22/09/2016,Second Class,TG-21640,Trudy Glocke,Consumer,United States,Long Beach,California,90805.0,West,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3
4642,CA-2018-130141,22/10/2018,24/10/2018,Second Class,HA-14905,Helen Abelman,Consumer,United States,Fort Collins,Colorado,80525.0,West,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets,3.168
9219,US-2016-164238,16/08/2016,20/08/2016,Standard Class,JW-15955,Joni Wasserman,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,44.688
4848,CA-2015-164469,25/06/2015,27/06/2015,Second Class,GK-14620,Grace Kelly,Corporate,United States,Salem,Oregon,97301.0,West,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",71.632
8034,CA-2016-119690,25/06/2016,28/06/2016,First Class,MV-17485,Mark Van Huff,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",0.984
7582,CA-2016-169656,13/08/2016,16/08/2016,First Class,EJ-13720,Ed Jacobs,Consumer,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-ST-10003816,Office Supplies,Storage,Fellowes High-Stak Drawer Files,422.856
959,CA-2018-102414,15/05/2018,18/05/2018,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Phoenix,Arizona,85023.0,West,OFF-PA-10002333,Office Supplies,Paper,"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",15.552
7961,CA-2018-131807,05/10/2018,10/10/2018,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,95928.0,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",7.992
6190,CA-2018-157903,04/04/2018,08/04/2018,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Des Plaines,Illinois,60016.0,Central,TEC-PH-10004345,Technology,Phones,Cisco SPA 502G IP Phone,383.84
4282,CA-2015-166989,14/11/2015,18/11/2015,Standard Class,RM-19675,Robert Marley,Home Office,United States,New York City,New York,10011.0,East,FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",69.264
9569,CA-2018-104388,05/07/2018,07/07/2018,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Fremont,Nebraska,68025.0,Central,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,79.96
3652,CA-2018-109960,09/12/2018,11/12/2018,Second Class,DB-13210,Dean Braden,Consumer,United States,Detroit,Michigan,48234.0,Central,OFF-AR-10001860,Office Supplies,Art,BIC Liqua Brite Liner,34.7
40,CA-2016-117415,27/12/2016,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
783,US-2016-157014,03/10/2016,06/10/2016,Second Class,BM-11785,Bryan Mills,Consumer,United States,Columbus,Ohio,43229.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,24.0
2690,CA-2015-123064,30/06/2015,02/07/2015,First Class,RA-19915,Russell Applegate,Consumer,United States,Chicago,Illinois,60653.0,Central,OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters,5.248
